Report Date,Age Group,Fatality Count,Percent
12/04/2021,10 to 19,17,0
12/04/2021,20 to 29,177,0.4
12/04/2021,30 to 39,593,1.3
12/04/2021,40 to 49,1438,3.1
12/04/2021,50 to 59,4036,8.6
12/04/2021,60 to 69,8520,18.2
12/04/2021,70 to 79,12065,25.8
12/04/2021,80 to 89,12531,26.9
12/04/2021,90 and Over,7353,15.7
12/04/2021,Unknown,9,0
12/04/2021,Statewide Total,46756,100
12/03/2021,0 to 9,17,0
12/03/2021,10 to 19,17,0
12/03/2021,20 to 29,177,0.4
12/03/2021,30 to 39,592,1.3
12/03/2021,40 to 49,1436,3.1
12/03/2021,50 to 59,4036,8.6
12/03/2021,60 to 69,8509,18.2
12/03/2021,70 to 79,12055,25.8
12/03/2021,80 to 89,12522,26.9
12/03/2021,90 and Over,7345,15.7
12/03/2021,Unknown,9,0
12/03/2021,Statewide Total,46715,100
12/02/2021,0 to 9,17,0
12/02/2021,10 to 19,17,0
12/02/2021,20 to 29,177,0.4
12/02/2021,30 to 39,591,1.3
12/02/2021,40 to 49,1432,3.1
12/02/2021,50 to 59,4032,8.6
12/02/2021,60 to 69,8504,18.2
12/02/2021,70 to 79,12046,25.8
12/02/2021,80 to 89,12506,26.9
12/02/2021,90 and Over,7342,15.7
12/02/2021,Unknown,9,0
12/02/2021,Statewide Total,46673,100
12/01/2021,0 to 9,17,0
12/01/2021,10 to 19,17,0
12/01/2021,20 to 29,177,0.4
12/01/2021,30 to 39,590,1.3
12/01/2021,40 to 49,1432,3.1
12/01/2021,50 to 59,4026,8.6
12/01/2021,60 to 69,8494,18.2
12/01/2021,70 to 79,12029,25.8
12/01/2021,80 to 89,12495,26.9
12/01/2021,90 and Over,7337,15.7
12/01/2021,Unknown,9,0
12/01/2021,Statewide Total,46623,100
11/30/2021,0 to 9,17,0
11/30/2021,10 to 19,17,0
11/30/2021,20 to 29,176,0.4
11/30/2021,30 to 39,590,1.3
11/30/2021,40 to 49,1431,3.1
11/30/2021,50 to 59,4024,8.6
11/30/2021,60 to 69,8483,18.2
11/30/2021,70 to 79,12014,25.8
11/30/2021,80 to 89,12485,26.9
11/30/2021,90 and Over,7328,15.7
11/30/2021,Unknown,9,0
11/30/2021,Statewide Total,46574,100
11/29/2021,0 to 9,17,0
11/29/2021,10 to 19,17,0
11/29/2021,20 to 29,176,0.4
11/29/2021,30 to 39,588,1.3
11/29/2021,40 to 49,1427,3.1
11/29/2021,50 to 59,4018,8.6
11/29/2021,60 to 69,8470,18.2
11/29/2021,70 to 79,12003,25.8
11/29/2021,80 to 89,12478,26.9
11/29/2021,90 and Over,7324,15.7
11/29/2021,Unknown,9,0
11/29/2021,Statewide Total,46527,100
11/28/2021,0 to 9,17,0
11/28/2021,10 to 19,17,0
11/28/2021,20 to 29,176,0.4
11/28/2021,30 to 39,587,1.3
11/28/2021,40 to 49,1426,3.1
11/28/2021,50 to 59,4011,8.6
11/28/2021,60 to 69,8460,18.2
11/28/2021,70 to 79,11992,25.8
11/28/2021,80 to 89,12469,26.8
11/28/2021,90 and Over,7320,15.8
11/28/2021,Unknown,9,0
11/28/2021,Statewide Total,46484,100
11/27/2021,0 to 9,17,0
11/27/2021,10 to 19,17,0
11/27/2021,20 to 29,176,0.4
11/27/2021,30 to 39,584,1.3
11/27/2021,40 to 49,1424,3.1
11/27/2021,50 to 59,4005,8.6
11/27/2021,60 to 69,8455,18.2
11/27/2021,70 to 79,11980,25.8
11/27/2021,80 to 89,12459,26.8
11/27/2021,90 and Over,7317,15.8
11/27/2021,Unknown,9,0
11/27/2021,Statewide Total,46443,100
11/26/2021,0 to 9,17,0
11/26/2021,10 to 19,17,0
11/26/2021,20 to 29,176,0.4
11/26/2021,30 to 39,583,1.3
11/26/2021,40 to 49,1422,3.1
11/26/2021,50 to 59,3998,8.6
11/26/2021,60 to 69,8449,18.2
11/26/2021,70 to 79,11972,25.8
11/26/2021,80 to 89,12457,26.8
11/26/2021,90 and Over,7312,15.8
11/26/2021,Unknown,9,0
11/26/2021,Statewide Total,46412,100
11/24/2021,0 to 9,17,0
11/24/2021,10 to 19,17,0
11/24/2021,20 to 29,176,0.4
11/24/2021,30 to 39,583,1.3
11/24/2021,40 to 49,1421,3.1
11/24/2021,50 to 59,3985,8.6
11/24/2021,60 to 69,8429,18.2
11/24/2021,70 to 79,11959,25.8
11/24/2021,80 to 89,12445,26.8
11/24/2021,90 and Over,7302,15.8
11/24/2021,Unknown,9,0
11/24/2021,Statewide Total,46343,100
11/23/2021,0 to 9,17,0
11/23/2021,10 to 19,17,0
11/23/2021,20 to 29,176,0.4
11/23/2021,30 to 39,583,1.3
11/23/2021,40 to 49,1421,3.1
11/23/2021,50 to 59,3980,8.6
11/23/2021,60 to 69,8422,18.2
11/23/2021,70 to 79,11952,25.8
11/23/2021,80 to 89,12439,26.8
11/23/2021,90 and Over,7298,15.8
11/23/2021,Unknown,9,0
11/23/2021,Statewide Total,46314,100
11/22/2021,0 to 9,17,0
11/22/2021,10 to 19,17,0
11/22/2021,20 to 29,176,0.4
11/22/2021,30 to 39,583,1.3
11/22/2021,40 to 49,1419,3.1
11/22/2021,50 to 59,3976,8.6
11/22/2021,60 to 69,8419,18.2
11/22/2021,70 to 79,11943,25.8
11/22/2021,80 to 89,12429,26.8
11/22/2021,90 and Over,7295,15.8
11/22/2021,Unknown,9,0
11/22/2021,Statewide Total,46283,100
11/21/2021,0 to 9,17,0
11/21/2021,10 to 19,17,0
11/21/2021,20 to 29,176,0.4
11/21/2021,30 to 39,582,1.3
11/21/2021,40 to 49,1417,3.1
11/21/2021,50 to 59,3974,8.6
11/21/2021,60 to 69,8414,18.2
11/21/2021,70 to 79,11935,25.8
11/21/2021,80 to 89,12420,26.8
11/21/2021,90 and Over,7293,15.8
11/21/2021,Unknown,9,0
11/21/2021,Statewide Total,46254,100
11/20/2021,0 to 9,17,0
11/20/2021,10 to 19,17,0
11/20/2021,20 to 29,175,0.4
11/20/2021,30 to 39,580,1.3
11/20/2021,40 to 49,1415,3.1
11/20/2021,50 to 59,3972,8.6
11/20/2021,60 to 69,8409,18.2
11/20/2021,70 to 79,11927,25.8
11/20/2021,80 to 89,12410,26.8
11/20/2021,90 and Over,7290,15.8
11/20/2021,Unknown,9,0
11/20/2021,Statewide Total,46221,100
11/19/2021,0 to 9,17,0
11/19/2021,10 to 19,17,0
11/19/2021,20 to 29,174,0.4
11/19/2021,30 to 39,576,1.3
11/19/2021,40 to 49,1414,3.1
11/19/2021,50 to 59,3968,8.6
11/19/2021,60 to 69,8402,18.2
11/19/2021,70 to 79,11918,25.8
11/19/2021,80 to 89,12406,26.8
11/19/2021,90 and Over,7288,15.8
11/19/2021,Unknown,9,0
11/19/2021,Statewide Total,46189,100
11/18/2021,0 to 9,17,0
11/18/2021,10 to 19,17,0
11/18/2021,20 to 29,174,0.4
11/18/2021,30 to 39,576,1.3
11/18/2021,40 to 49,1414,3.1
11/18/2021,50 to 59,3967,8.6
11/18/2021,60 to 69,8397,18.2
11/18/2021,70 to 79,11910,25.8
11/18/2021,80 to 89,12401,26.8
11/18/2021,90 and Over,7283,15.8
11/18/2021,Unknown,9,0
11/18/2021,Statewide Total,46165,100
11/17/2021,0 to 9,17,0
11/17/2021,10 to 19,17,0
11/17/2021,20 to 29,173,0.4
11/17/2021,30 to 39,575,1.3
11/17/2021,40 to 49,1411,3.1
11/17/2021,50 to 59,3967,8.6
11/17/2021,60 to 69,8387,18.2
11/17/2021,70 to 79,11904,25.8
11/17/2021,80 to 89,12391,26.8
11/17/2021,90 and Over,7281,15.8
11/17/2021,Unknown,9,0
11/17/2021,Statewide Total,46132,100
11/16/2021,0 to 9,17,0
11/16/2021,10 to 19,17,0
11/16/2021,20 to 29,173,0.4
11/16/2021,30 to 39,574,1.3
11/16/2021,40 to 49,1410,3.1
11/16/2021,50 to 59,3962,8.6
11/16/2021,60 to 69,8377,18.2
11/16/2021,70 to 79,11899,25.8
11/16/2021,80 to 89,12386,26.8
11/16/2021,90 and Over,7277,15.8
11/16/2021,Unknown,9,0
11/16/2021,Statewide Total,46101,100
11/15/2021,0 to 9,17,0
11/15/2021,10 to 19,16,0
11/15/2021,20 to 29,173,0.4
11/15/2021,30 to 39,574,1.3
11/15/2021,40 to 49,1409,3.1
11/15/2021,50 to 59,3958,8.6
11/15/2021,60 to 69,8371,18.2
11/15/2021,70 to 79,11890,25.8
11/15/2021,80 to 89,12378,26.8
11/15/2021,90 and Over,7273,15.8
11/15/2021,Unknown,9,0
11/15/2021,Statewide Total,46068,100
11/14/2021,0 to 9,17,0
11/14/2021,10 to 19,16,0
11/14/2021,20 to 29,173,0.4
11/14/2021,30 to 39,574,1.3
11/14/2021,40 to 49,1406,3.1
11/14/2021,50 to 59,3957,8.6
11/14/2021,60 to 69,8367,18.2
11/14/2021,70 to 79,11880,25.8
11/14/2021,80 to 89,12369,26.8
11/14/2021,90 and Over,7269,15.8
11/14/2021,Unknown,9,0
11/14/2021,Statewide Total,46037,100
11/13/2021,0 to 9,17,0
11/13/2021,10 to 19,16,0
11/13/2021,20 to 29,173,0.4
11/13/2021,30 to 39,571,1.2
11/13/2021,40 to 49,1405,3.1
11/13/2021,50 to 59,3955,8.6
11/13/2021,60 to 69,8359,18.2
11/13/2021,70 to 79,11874,25.8
11/13/2021,80 to 89,12364,26.9
11/13/2021,90 and Over,7267,15.8
11/13/2021,Unknown,9,0
11/13/2021,Statewide Total,46010,100
11/12/2021,0 to 9,17,0
11/12/2021,10 to 19,16,0
11/12/2021,20 to 29,173,0.4
11/12/2021,30 to 39,571,1.2
11/12/2021,40 to 49,1403,3.1
11/12/2021,50 to 59,3953,8.6
11/12/2021,60 to 69,8350,18.2
11/12/2021,70 to 79,11868,25.8
11/12/2021,80 to 89,12357,26.9
11/12/2021,90 and Over,7263,15.8
11/12/2021,Unknown,9,0
11/12/2021,Statewide Total,45980,100
11/11/2021,0 to 9,17,0
11/11/2021,10 to 19,16,0
11/11/2021,20 to 29,173,0.4
11/11/2021,30 to 39,571,1.2
11/11/2021,40 to 49,1403,3.1
11/11/2021,50 to 59,3949,8.6
11/11/2021,60 to 69,8347,18.2
11/11/2021,70 to 79,11863,25.8
11/11/2021,80 to 89,12352,26.9
11/11/2021,90 and Over,7260,15.8
11/11/2021,Unknown,9,0
11/11/2021,Statewide Total,45960,100
11/10/2021,0 to 9,17,0
11/10/2021,10 to 19,16,0
11/10/2021,20 to 29,173,0.4
11/10/2021,30 to 39,571,1.2
11/10/2021,40 to 49,1402,3.1
11/10/2021,50 to 59,3946,8.6
11/10/2021,60 to 69,8341,18.2
11/10/2021,70 to 79,11857,25.8
11/10/2021,80 to 89,12342,26.9
11/10/2021,90 and Over,7256,15.8
11/10/2021,Unknown,9,0
11/10/2021,Statewide Total,45930,100
11/09/2021,0 to 9,17,0
11/09/2021,10 to 19,16,0
11/09/2021,20 to 29,173,0.4
11/09/2021,30 to 39,571,1.2
11/09/2021,40 to 49,1402,3.1
11/09/2021,50 to 59,3942,8.6
11/09/2021,60 to 69,8331,18.2
11/09/2021,70 to 79,11844,25.8
11/09/2021,80 to 89,12336,26.9
11/09/2021,90 and Over,7250,15.8
11/09/2021,Unknown,9,0
11/09/2021,Statewide Total,45891,100
11/08/2021,0 to 9,17,0
11/08/2021,10 to 19,16,0
11/08/2021,20 to 29,173,0.4
11/08/2021,30 to 39,569,1.2
11/08/2021,40 to 49,1401,3.1
11/08/2021,50 to 59,3938,8.6
11/08/2021,60 to 69,8324,18.2
11/08/2021,70 to 79,11837,25.8
11/08/2021,80 to 89,12332,26.9
11/08/2021,90 and Over,7244,15.8
11/08/2021,Unknown,9,0
11/08/2021,Statewide Total,45860,100
11/07/2021,0 to 9,17,0
11/07/2021,10 to 19,16,0
11/07/2021,20 to 29,173,0.4
11/07/2021,30 to 39,567,1.2
11/07/2021,40 to 49,1400,3.1
11/07/2021,50 to 59,3934,8.6
11/07/2021,60 to 69,8320,18.2
11/07/2021,70 to 79,11829,25.8
11/07/2021,80 to 89,12320,26.9
11/07/2021,90 and Over,7236,15.8
11/07/2021,Unknown,9,0
11/07/2021,Statewide Total,45821,100
11/06/2021,0 to 9,17,0
11/06/2021,10 to 19,16,0
11/06/2021,20 to 29,173,0.4
11/06/2021,30 to 39,567,1.2
11/06/2021,40 to 49,1399,3.1
11/06/2021,50 to 59,3927,8.6
11/06/2021,60 to 69,8310,18.2
11/06/2021,70 to 79,11825,25.8
11/06/2021,80 to 89,12312,26.9
11/06/2021,90 and Over,7234,15.8
11/06/2021,Unknown,9,0
11/06/2021,Statewide Total,45789,100
11/05/2021,0 to 9,17,0
11/05/2021,10 to 19,16,0
11/05/2021,20 to 29,173,0.4
11/05/2021,30 to 39,567,1.2
11/05/2021,40 to 49,1399,3.1
11/05/2021,50 to 59,3926,8.6
11/05/2021,60 to 69,8303,18.1
11/05/2021,70 to 79,11819,25.8
11/05/2021,80 to 89,12306,27
11/05/2021,90 and Over,7229,15.8
11/05/2021,Unknown,9,0
11/05/2021,Statewide Total,45764,100
11/04/2021,0 to 9,17,0
11/04/2021,10 to 19,16,0
11/04/2021,20 to 29,172,0.4
11/04/2021,30 to 39,567,1.2
11/04/2021,40 to 49,1399,3.1
11/04/2021,50 to 59,3924,8.6
11/04/2021,60 to 69,8293,18.1
11/04/2021,70 to 79,11810,25.8
11/04/2021,80 to 89,12298,27
11/04/2021,90 and Over,7223,15.8
11/04/2021,Unknown,9,0
11/04/2021,Statewide Total,45728,100
11/03/2021,0 to 9,17,0
11/03/2021,10 to 19,16,0
11/03/2021,20 to 29,172,0.4
11/03/2021,30 to 39,567,1.2
11/03/2021,40 to 49,1396,3.1
11/03/2021,50 to 59,3922,8.6
11/03/2021,60 to 69,8282,18.1
11/03/2021,70 to 79,11802,25.8
11/03/2021,80 to 89,12291,27
11/03/2021,90 and Over,7219,15.8
11/03/2021,Unknown,9,0
11/03/2021,Statewide Total,45693,100
11/02/2021,0 to 9,17,0
11/02/2021,10 to 19,16,0
11/02/2021,20 to 29,171,0.4
11/02/2021,30 to 39,566,1.2
11/02/2021,40 to 49,1395,3.1
11/02/2021,50 to 59,3919,8.6
11/02/2021,60 to 69,8275,18.1
11/02/2021,70 to 79,11789,25.8
11/02/2021,80 to 89,12286,27
11/02/2021,90 and Over,7216,15.8
11/02/2021,Unknown,9,0
11/02/2021,Statewide Total,45659,100
11/01/2021,0 to 9,17,0
11/01/2021,10 to 19,16,0
11/01/2021,20 to 29,171,0.4
11/01/2021,30 to 39,565,1.2
11/01/2021,40 to 49,1392,3.1
11/01/2021,50 to 59,3914,8.6
11/01/2021,60 to 69,8269,18.1
11/01/2021,70 to 79,11782,25.8
11/01/2021,80 to 89,12279,27
11/01/2021,90 and Over,7208,15.8
11/01/2021,Unknown,9,0
11/01/2021,Statewide Total,45622,100
10/31/2021,0 to 9,17,0
10/31/2021,10 to 19,16,0
10/31/2021,20 to 29,171,0.4
10/31/2021,30 to 39,565,1.2
10/31/2021,40 to 49,1391,3.1
10/31/2021,50 to 59,3911,8.6
10/31/2021,60 to 69,8268,18.1
10/31/2021,70 to 79,11778,25.8
10/31/2021,80 to 89,12268,27
10/31/2021,90 and Over,7206,15.8
10/31/2021,Unknown,9,0
10/31/2021,Statewide Total,45600,100
10/30/2021,0 to 9,17,0
10/30/2021,10 to 19,15,0
10/30/2021,20 to 29,171,0.4
10/30/2021,30 to 39,565,1.2
10/30/2021,40 to 49,1390,3.1
10/30/2021,50 to 59,3908,8.6
10/30/2021,60 to 69,8262,18.1
10/30/2021,70 to 79,11767,25.8
10/30/2021,80 to 89,12262,27
10/30/2021,90 and Over,7201,15.8
10/30/2021,Unknown,9,0
10/30/2021,Statewide Total,45567,100
10/29/2021,0 to 9,17,0
10/29/2021,10 to 19,15,0
10/29/2021,20 to 29,171,0.4
10/29/2021,30 to 39,564,1.2
10/29/2021,40 to 49,1389,3.1
10/29/2021,50 to 59,3906,8.6
10/29/2021,60 to 69,8255,18.1
10/29/2021,70 to 79,11763,25.8
10/29/2021,80 to 89,12255,27
10/29/2021,90 and Over,7197,15.8
10/29/2021,Unknown,9,0
10/29/2021,Statewide Total,45541,100
10/28/2021,0 to 9,17,0
10/28/2021,10 to 19,15,0
10/28/2021,20 to 29,171,0.4
10/28/2021,30 to 39,563,1.2
10/28/2021,40 to 49,1389,3.1
10/28/2021,50 to 59,3903,8.6
10/28/2021,60 to 69,8252,18.1
10/28/2021,70 to 79,11752,25.8
10/28/2021,80 to 89,12247,27
10/28/2021,90 and Over,7191,15.8
10/28/2021,Unknown,9,0
10/28/2021,Statewide Total,45509,100
10/27/2021,0 to 9,17,0
10/27/2021,10 to 19,15,0
10/27/2021,20 to 29,170,0.4
10/27/2021,30 to 39,562,1.2
10/27/2021,40 to 49,1388,3.1
10/27/2021,50 to 59,3899,8.6
10/27/2021,60 to 69,8247,18.1
10/27/2021,70 to 79,11739,25.8
10/27/2021,80 to 89,12243,27
10/27/2021,90 and Over,7187,15.8
10/27/2021,Unknown,9,0
10/27/2021,Statewide Total,45476,100
10/26/2021,0 to 9,17,0
10/26/2021,10 to 19,15,0
10/26/2021,20 to 29,170,0.4
10/26/2021,30 to 39,561,1.2
10/26/2021,40 to 49,1386,3.1
10/26/2021,50 to 59,3895,8.6
10/26/2021,60 to 69,8245,18.1
10/26/2021,70 to 79,11731,25.8
10/26/2021,80 to 89,12239,27
10/26/2021,90 and Over,7180,15.8
10/26/2021,Unknown,9,0
10/26/2021,Statewide Total,45448,100
10/25/2021,0 to 9,17,0
10/25/2021,10 to 19,15,0
10/25/2021,20 to 29,170,0.4
10/25/2021,30 to 39,560,1.2
10/25/2021,40 to 49,1385,3.1
10/25/2021,50 to 59,3893,8.6
10/25/2021,60 to 69,8235,18.1
10/25/2021,70 to 79,11723,25.8
10/25/2021,80 to 89,12233,27
10/25/2021,90 and Over,7171,15.8
10/25/2021,Unknown,9,0
10/25/2021,Statewide Total,45411,100
10/24/2021,0 to 9,17,0
10/24/2021,10 to 19,15,0
10/24/2021,20 to 29,170,0.4
10/24/2021,30 to 39,558,1.2
10/24/2021,40 to 49,1382,3.1
10/24/2021,50 to 59,3888,8.6
10/24/2021,60 to 69,8230,18.1
10/24/2021,70 to 79,11713,25.8
10/24/2021,80 to 89,12228,27
10/24/2021,90 and Over,7166,15.8
10/24/2021,Unknown,9,0
10/24/2021,Statewide Total,45376,100
10/23/2021,0 to 9,17,0
10/23/2021,10 to 19,15,0
10/23/2021,20 to 29,170,0.4
10/23/2021,30 to 39,558,1.2
10/23/2021,40 to 49,1381,3.1
10/23/2021,50 to 59,3880,8.6
10/23/2021,60 to 69,8225,18.1
10/23/2021,70 to 79,11706,25.8
10/23/2021,80 to 89,12223,27
10/23/2021,90 and Over,7164,15.8
10/23/2021,Unknown,9,0
10/23/2021,Statewide Total,45348,100
10/22/2021,0 to 9,17,0
10/22/2021,10 to 19,15,0
10/22/2021,20 to 29,170,0.4
10/22/2021,30 to 39,557,1.2
10/22/2021,40 to 49,1379,3
10/22/2021,50 to 59,3877,8.6
10/22/2021,60 to 69,8221,18.1
10/22/2021,70 to 79,11700,25.8
10/22/2021,80 to 89,12213,27.1
10/22/2021,90 and Over,7158,15.8
10/22/2021,Unknown,9,0
10/22/2021,Statewide Total,45316,100
10/21/2021,0 to 9,17,0
10/21/2021,10 to 19,15,0
10/21/2021,20 to 29,170,0.4
10/21/2021,30 to 39,557,1.2
10/21/2021,40 to 49,1374,3
10/21/2021,50 to 59,3874,8.6
10/21/2021,60 to 69,8216,18.2
10/21/2021,70 to 79,11694,25.8
10/21/2021,80 to 89,12198,27
10/21/2021,90 and Over,7154,15.8
10/21/2021,Unknown,9,0
10/21/2021,Statewide Total,45278,100
10/20/2021,0 to 9,17,0
10/20/2021,10 to 19,15,0
10/20/2021,20 to 29,170,0.4
10/20/2021,30 to 39,556,1.2
10/20/2021,40 to 49,1372,3
10/20/2021,50 to 59,3871,8.6
10/20/2021,60 to 69,8213,18.2
10/20/2021,70 to 79,11689,25.8
10/20/2021,80 to 89,12194,27
10/20/2021,90 and Over,7146,15.8
10/20/2021,Unknown,9,0
10/20/2021,Statewide Total,45252,100
10/19/2021,0 to 9,17,0
10/19/2021,10 to 19,15,0
10/19/2021,20 to 29,169,0.4
10/19/2021,30 to 39,553,1.2
10/19/2021,40 to 49,1370,3
10/19/2021,50 to 59,3869,8.6
10/19/2021,60 to 69,8203,18.2
10/19/2021,70 to 79,11681,25.8
10/19/2021,80 to 89,12182,27
10/19/2021,90 and Over,7137,15.8
10/19/2021,Unknown,9,0
10/19/2021,Statewide Total,45205,100
10/18/2021,0 to 9,17,0
10/18/2021,10 to 19,15,0
10/18/2021,20 to 29,168,0.4
10/18/2021,30 to 39,553,1.2
10/18/2021,40 to 49,1367,3
10/18/2021,50 to 59,3865,8.6
10/18/2021,60 to 69,8194,18.1
10/18/2021,70 to 79,11671,25.8
10/18/2021,80 to 89,12175,27.1
10/18/2021,90 and Over,7133,15.8
10/18/2021,Unknown,9,0
10/18/2021,Statewide Total,45167,100
10/17/2021,0 to 9,17,0
10/17/2021,10 to 19,15,0
10/17/2021,20 to 29,168,0.4
10/17/2021,30 to 39,553,1.2
10/17/2021,40 to 49,1364,3
10/17/2021,50 to 59,3864,8.6
10/17/2021,60 to 69,8188,18.1
10/17/2021,70 to 79,11666,25.9
10/17/2021,80 to 89,12164,27
10/17/2021,90 and Over,7129,15.8
10/17/2021,Unknown,9,0
10/17/2021,Statewide Total,45137,100
10/16/2021,0 to 9,17,0
10/16/2021,10 to 19,15,0
10/16/2021,20 to 29,168,0.4
10/16/2021,30 to 39,551,1.2
10/16/2021,40 to 49,1364,3
10/16/2021,50 to 59,3862,8.6
10/16/2021,60 to 69,8186,18.2
10/16/2021,70 to 79,11657,25.8
10/16/2021,80 to 89,12157,27
10/16/2021,90 and Over,7123,15.8
10/16/2021,Unknown,9,0
10/16/2021,Statewide Total,45109,100
10/15/2021,0 to 9,17,0
10/15/2021,10 to 19,15,0
10/15/2021,20 to 29,168,0.4
10/15/2021,30 to 39,551,1.2
10/15/2021,40 to 49,1363,3
10/15/2021,50 to 59,3859,8.6
10/15/2021,60 to 69,8175,18.1
10/15/2021,70 to 79,11648,25.8
10/15/2021,80 to 89,12148,27.1
10/15/2021,90 and Over,7120,15.8
10/15/2021,Unknown,9,0
10/15/2021,Statewide Total,45073,100
10/14/2021,0 to 9,17,0
10/14/2021,10 to 19,15,0
10/14/2021,20 to 29,168,0.4
10/14/2021,30 to 39,551,1.2
10/14/2021,40 to 49,1361,3
10/14/2021,50 to 59,3858,8.6
10/14/2021,60 to 69,8166,18.1
10/14/2021,70 to 79,11638,25.8
10/14/2021,80 to 89,12143,27.1
10/14/2021,90 and Over,7119,15.8
10/14/2021,Unknown,9,0
10/14/2021,Statewide Total,45045,100
10/13/2021,0 to 9,17,0
10/13/2021,10 to 19,15,0
10/13/2021,20 to 29,168,0.4
10/13/2021,30 to 39,549,1.2
10/13/2021,40 to 49,1358,3
10/13/2021,50 to 59,3855,8.6
10/13/2021,60 to 69,8159,18.1
10/13/2021,70 to 79,11632,25.8
10/13/2021,80 to 89,12137,27.1
10/13/2021,90 and Over,7116,15.8
10/13/2021,Unknown,9,0
10/13/2021,Statewide Total,45015,100
10/12/2021,0 to 9,17,0
10/12/2021,10 to 19,15,0
10/12/2021,20 to 29,168,0.4
10/12/2021,30 to 39,546,1.2
10/12/2021,40 to 49,1354,3
10/12/2021,50 to 59,3848,8.6
10/12/2021,60 to 69,8150,18.1
10/12/2021,70 to 79,11628,25.9
10/12/2021,80 to 89,12129,27
10/12/2021,90 and Over,7110,15.8
10/12/2021,Unknown,9,0
10/12/2021,Statewide Total,44974,100
10/11/2021,0 to 9,17,0
10/11/2021,10 to 19,15,0
10/11/2021,20 to 29,168,0.4
10/11/2021,30 to 39,544,1.2
10/11/2021,40 to 49,1352,3
10/11/2021,50 to 59,3844,8.6
10/11/2021,60 to 69,8145,18.1
10/11/2021,70 to 79,11618,25.9
10/11/2021,80 to 89,12121,27
10/11/2021,90 and Over,7106,15.8
10/11/2021,Unknown,9,0
10/11/2021,Statewide Total,44939,100
10/10/2021,0 to 9,17,0
10/10/2021,10 to 19,15,0
10/10/2021,20 to 29,167,0.4
10/10/2021,30 to 39,544,1.2
10/10/2021,40 to 49,1352,3
10/10/2021,50 to 59,3842,8.6
10/10/2021,60 to 69,8138,18.1
10/10/2021,70 to 79,11609,25.9
10/10/2021,80 to 89,12106,27
10/10/2021,90 and Over,7103,15.8
10/10/2021,Unknown,9,0
10/10/2021,Statewide Total,44902,100
10/09/2021,0 to 9,17,0
10/09/2021,10 to 19,15,0
10/09/2021,20 to 29,167,0.4
10/09/2021,30 to 39,544,1.2
10/09/2021,40 to 49,1350,3
10/09/2021,50 to 59,3841,8.6
10/09/2021,60 to 69,8130,18.1
10/09/2021,70 to 79,11601,25.9
10/09/2021,80 to 89,12102,27
10/09/2021,90 and Over,7096,15.8
10/09/2021,Unknown,9,0
10/09/2021,Statewide Total,44872,100
10/08/2021,0 to 9,17,0
10/08/2021,10 to 19,15,0
10/08/2021,20 to 29,167,0.4
10/08/2021,30 to 39,542,1.2
10/08/2021,40 to 49,1348,3
10/08/2021,50 to 59,3838,8.6
10/08/2021,60 to 69,8122,18.1
10/08/2021,70 to 79,11594,25.9
10/08/2021,80 to 89,12094,27
10/08/2021,90 and Over,7091,15.8
10/08/2021,Unknown,9,0
10/08/2021,Statewide Total,44837,100
10/07/2021,0 to 9,17,0
10/07/2021,10 to 19,15,0
10/07/2021,20 to 29,167,0.4
10/07/2021,30 to 39,541,1.2
10/07/2021,40 to 49,1345,3
10/07/2021,50 to 59,3833,8.6
10/07/2021,60 to 69,8116,18.1
10/07/2021,70 to 79,11586,25.9
10/07/2021,80 to 89,12086,27
10/07/2021,90 and Over,7087,15.8
10/07/2021,Unknown,9,0
10/07/2021,Statewide Total,44802,100
10/06/2021,0 to 9,17,0
10/06/2021,10 to 19,15,0
10/06/2021,20 to 29,164,0.4
10/06/2021,30 to 39,541,1.2
10/06/2021,40 to 49,1345,3
10/06/2021,50 to 59,3827,8.6
10/06/2021,60 to 69,8103,18.1
10/06/2021,70 to 79,11573,25.9
10/06/2021,80 to 89,12081,27
10/06/2021,90 and Over,7083,15.8
10/06/2021,Unknown,9,0
10/06/2021,Statewide Total,44758,100
10/05/2021,0 to 9,17,0
10/05/2021,10 to 19,15,0
10/05/2021,20 to 29,163,0.4
10/05/2021,30 to 39,541,1.2
10/05/2021,40 to 49,1343,3
10/05/2021,50 to 59,3824,8.6
10/05/2021,60 to 69,8097,18.1
10/05/2021,70 to 79,11569,25.9
10/05/2021,80 to 89,12078,27
10/05/2021,90 and Over,7079,15.8
10/05/2021,Unknown,9,0
10/05/2021,Statewide Total,44735,100
10/04/2021,0 to 9,17,0
10/04/2021,10 to 19,15,0
10/04/2021,20 to 29,163,0.4
10/04/2021,30 to 39,540,1.2
10/04/2021,40 to 49,1340,3
10/04/2021,50 to 59,3816,8.5
10/04/2021,60 to 69,8096,18.1
10/04/2021,70 to 79,11561,25.9
10/04/2021,80 to 89,12072,27.1
10/04/2021,90 and Over,7074,15.8
10/04/2021,Unknown,9,0
10/04/2021,Statewide Total,44703,100
10/03/2021,0 to 9,17,0
10/03/2021,10 to 19,15,0
10/03/2021,20 to 29,163,0.4
10/03/2021,30 to 39,539,1.2
10/03/2021,40 to 49,1337,3
10/03/2021,50 to 59,3811,8.5
10/03/2021,60 to 69,8089,18.1
10/03/2021,70 to 79,11556,25.9
10/03/2021,80 to 89,12061,27.1
10/03/2021,90 and Over,7068,15.8
10/03/2021,Unknown,9,0
10/03/2021,Statewide Total,44665,100
