Report Date,Age Group,Fatality Count,Percent
07/20/2023,Unknown,9,0
07/20/2023,Statewide Total,62781,100
07/19/2023,0 to 9,47,0.1
07/19/2023,10 to 19,41,0.1
07/19/2023,20 to 29,266,0.4
07/19/2023,30 to 39,815,1.3
07/19/2023,40 to 49,1895,3
07/19/2023,50 to 59,5226,8.3
07/19/2023,60 to 69,11028,17.6
07/19/2023,70 to 79,16099,25.6
07/19/2023,80 to 89,17031,27.2
07/19/2023,90 and Over,10321,16.4
07/19/2023,Unknown,9,0
07/19/2023,Statewide Total,62778,100
07/18/2023,0 to 9,47,0.1
07/18/2023,10 to 19,41,0.1
07/18/2023,20 to 29,266,0.4
07/18/2023,30 to 39,815,1.3
07/18/2023,40 to 49,1895,3
07/18/2023,50 to 59,5226,8.3
07/18/2023,60 to 69,11028,17.6
07/18/2023,70 to 79,16099,25.6
07/18/2023,80 to 89,17031,27.2
07/18/2023,90 and Over,10320,16.4
07/18/2023,Unknown,9,0
07/18/2023,Statewide Total,62777,100
07/17/2023,0 to 9,47,0.1
07/17/2023,10 to 19,41,0.1
07/17/2023,20 to 29,266,0.4
07/17/2023,30 to 39,815,1.3
07/17/2023,40 to 49,1895,3
07/17/2023,50 to 59,5226,8.3
07/17/2023,60 to 69,11027,17.6
07/17/2023,70 to 79,16097,25.6
07/17/2023,80 to 89,17030,27.2
07/17/2023,90 and Over,10318,16.4
07/17/2023,Unknown,9,0
07/17/2023,Statewide Total,62771,100
07/14/2023,0 to 9,47,0.1
07/14/2023,10 to 19,41,0.1
07/14/2023,20 to 29,266,0.4
07/14/2023,30 to 39,815,1.3
07/14/2023,40 to 49,1895,3
07/14/2023,50 to 59,5226,8.3
07/14/2023,60 to 69,11025,17.6
07/14/2023,70 to 79,16095,25.6
07/14/2023,80 to 89,17027,27.2
07/14/2023,90 and Over,10318,16.4
07/14/2023,Unknown,9,0
07/14/2023,Statewide Total,62764,100
07/13/2023,0 to 9,47,0.1
07/13/2023,10 to 19,41,0.1
07/13/2023,20 to 29,266,0.4
07/13/2023,30 to 39,815,1.3
07/13/2023,40 to 49,1895,3
07/13/2023,50 to 59,5226,8.3
07/13/2023,60 to 69,11025,17.6
07/13/2023,70 to 79,16095,25.6
07/13/2023,80 to 89,17027,27.2
07/13/2023,90 and Over,10318,16.4
07/13/2023,Unknown,9,0
07/13/2023,Statewide Total,62764,100
07/12/2023,0 to 9,47,0.1
07/12/2023,10 to 19,41,0.1
07/12/2023,20 to 29,266,0.4
07/12/2023,30 to 39,815,1.3
07/12/2023,40 to 49,1895,3
07/12/2023,50 to 59,5226,8.3
07/12/2023,60 to 69,11024,17.6
07/12/2023,70 to 79,16095,25.7
07/12/2023,80 to 89,17026,27.1
07/12/2023,90 and Over,10316,16.4
07/12/2023,Unknown,9,0
07/12/2023,Statewide Total,62760,100
07/11/2023,0 to 9,47,0.1
07/11/2023,10 to 19,41,0.1
07/11/2023,20 to 29,266,0.4
07/11/2023,30 to 39,815,1.3
07/11/2023,40 to 49,1895,3
07/11/2023,50 to 59,5225,8.3
07/11/2023,60 to 69,11023,17.6
07/11/2023,70 to 79,16094,25.7
07/11/2023,80 to 89,17025,27.1
07/11/2023,90 and Over,10315,16.4
07/11/2023,Unknown,9,0
07/11/2023,Statewide Total,62755,100
07/10/2023,0 to 9,47,0.1
07/10/2023,10 to 19,41,0.1
07/10/2023,20 to 29,266,0.4
07/10/2023,30 to 39,815,1.3
07/10/2023,40 to 49,1895,3
07/10/2023,50 to 59,5225,8.3
07/10/2023,60 to 69,11023,17.6
07/10/2023,70 to 79,16093,25.6
07/10/2023,80 to 89,17024,27.2
07/10/2023,90 and Over,10315,16.4
07/10/2023,Unknown,9,0
07/10/2023,Statewide Total,62753,100
07/07/2023,0 to 9,47,0.1
07/07/2023,10 to 19,40,0.1
07/07/2023,20 to 29,266,0.4
07/07/2023,30 to 39,815,1.3
07/07/2023,40 to 49,1895,3
07/07/2023,50 to 59,5225,8.3
07/07/2023,60 to 69,11023,17.6
07/07/2023,70 to 79,16091,25.6
07/07/2023,80 to 89,17021,27.2
07/07/2023,90 and Over,10314,16.4
07/07/2023,Unknown,9,0
07/07/2023,Statewide Total,62746,100
07/06/2023,0 to 9,47,0.1
07/06/2023,10 to 19,40,0.1
07/06/2023,20 to 29,266,0.4
07/06/2023,30 to 39,815,1.3
07/06/2023,40 to 49,1895,3
07/06/2023,50 to 59,5224,8.3
07/06/2023,60 to 69,11021,17.6
07/06/2023,70 to 79,16091,25.7
07/06/2023,80 to 89,17020,27.1
07/06/2023,90 and Over,10313,16.4
07/06/2023,Unknown,9,0
07/06/2023,Statewide Total,62741,100
07/05/2023,0 to 9,47,0.1
07/05/2023,10 to 19,40,0.1
07/05/2023,20 to 29,266,0.4
07/05/2023,30 to 39,815,1.3
07/05/2023,40 to 49,1895,3
07/05/2023,50 to 59,5222,8.3
07/05/2023,60 to 69,11021,17.6
07/05/2023,70 to 79,16091,25.7
07/05/2023,80 to 89,17019,27.1
07/05/2023,90 and Over,10311,16.4
07/05/2023,Unknown,9,0
07/05/2023,Statewide Total,62736,100
07/03/2023,0 to 9,47,0.1
07/03/2023,10 to 19,40,0.1
07/03/2023,20 to 29,266,0.4
07/03/2023,30 to 39,815,1.3
07/03/2023,40 to 49,1895,3
07/03/2023,50 to 59,5221,8.3
07/03/2023,60 to 69,11021,17.6
07/03/2023,70 to 79,16088,25.7
07/03/2023,80 to 89,17016,27.1
07/03/2023,90 and Over,10311,16.4
07/03/2023,Unknown,9,0
07/03/2023,Statewide Total,62729,100
