"","time","S1","S2","S3","E1","E2","E3","I1","I2","I3","R1","R2","R3"
"21",20,10251144.2745727,15205841.8672746,12123370.636704,43057.2424640054,60071.7632640215,24466.56698537,9610.05441762867,13396.1276703227,5538.62178458246,1948.42854565939,2695.2417910739,1166.17452609085
"22",21,10232032.0765463,15179186.5530825,12112576.9587846,58151.4180616167,81121.6218550095,32979.509668472,12956.1173719869,18064.7644600063,7433.03939808477,2620.38802010428,3632.06060247701,1552.49214881932
"23",22,10206193.9429383,15143152.2280362,12097985.2049298,78561.98996127,109584.831538891,44495.4366581084,17477.4680997661,24372.2468309556,9990.00770842446,3526.59900068505,4895.69359393275,2071.3507036431
"24",23,10171272.2354641,15094448.1561783,12078251.4028451,106150.477577273,148060.221613469,60077.6816545738,23587.9139052132,32895.7024980951,13443.7405789772,4749.37305341435,6600.91971015491,2769.17492139661
"25",24,10124104.7028596,15028656.8026911,12051560.3525483,143409.979974533,200031.735720905,81161.579066035,31845.3530030816,44413.5694399776,18111.2651510673,6399.96416275063,8902.89214802012,3708.8032346457
"26",25,10060473.1484306,14939878.4334825,12015467.2457293,193658.520972804,270142.460846639,109678.344146091,42999.7403237505,59972.9571599541,24421.1330560028,8628.59027284105,12011.1485108906,4975.2770686461
"27",26,9974795.09777467,14820291.9376637,11966692.9154614,261272.315805799,364528.128397522,148214.052003019,58054.8534274871,80976.7011712534,32951.4138061866,11637.7329920388,16208.2327674889,6683.61872943731
"28",27,9859765.48644787,14659638.3025522,11900865.3720374,351949.020790411,491199.173474096,200208.037904746,78345.8780307994,109293.303543816,44479.3604077249,15699.614730908,21874.2204298404,8989.22965013214
"29",28,9705978.23810329,14444662.8909737,11812205.4581676,472969.784407852,660432.660453027,270189.745108875,105633.159833991,147390.889792526,60045.1202101837,21178.8176548592,29518.5587807219,12101.676513292
"30",29,9501599.87974474,14158608.5708324,11693166.4527747,633390.45088207,885084.31419875,364041.496862116,142208.728751935,198491.525529028,81031.2838218209,28560.9406212474,39820.5894398302,16302.7665414012
