time,S1,S2,S3,E1,E2,E3,I1,I2,I3,R1,R2,R3,run
104,119.20790659966184,177.82103413002966,10370.528887526734,113210.16345878203,176010.9941195675,315275.4072074906,850368.1955858701,1294552.2393430448,1489345.6092828896,9342062.433048762,13811263.945503268,10339550.454622101,15
105,102.52316571589417,152.0132278122842,9288.817731511723,104522.16595882087,162503.3944651109,292074.3761589905,809291.9221130575,1232293.547989143,1426172.4810774692,9391843.38876242,13887056.044317944,10427006.325032037,15
106,88.80883728684124,130.91114997975117,8361.229102819398,96499.28313899277,150029.79311330648,270509.1867800768,769959.5652827274,1172652.764990151,1364941.5811625563,9439212.342741007,13959191.530746575,10510730.002954554,15
107,77.46028124114534,113.5379252390597,7562.271117358457,89090.95864700021,138511.62968656723,250478.53492645887,732319.2040798111,1115554.602893703,1305662.8306723922,9484272.376991961,14027825.229494505,10590838.363283798,15
108,68.00887840809234,99.1401265660169,6871.161399469249,82250.39259593688,127876.16945650855,231884.3857251211,696318.1645852192,1060922.2897185164,1248337.8302080468,9527123.433940448,14093107.400698422,10667448.62266737,15
109,60.08890318785079,87.13256149964181,6270.879037717549,75934.28454675355,118056.10843668166,214632.63208908733,661903.3453292561,1008678.0921283222,1192960.6255281824,9567862.281220814,14155183.66687351,10740677.86334502,15
110,53.413052010731384,77.05767433905781,5747.421815763312,70102.58792838367,108989.19477987767,198633.5050490956,629021.5041798094,958743.77810425,1139518.470402922,9606582.49483981,14214194.969441546,10810642.602732226,15
111,47.75411526219789,68.55526698869244,5289.219528057836,64718.27744375868,100617.86939068079,183801.80368270725,597619.5100245398,911041.0241126501,1087992.5684234956,9643374.458416453,14270277.551229691,10877458.408365747,15
112,42.9313050419604,61.34001813121417,4886.671158859756,59747.12989764157,92888.92668990501,170056.98772358277,567644.5621994111,865491.7713540384,1038358.7847497069,9678325.376597919,14323562.961937936,10941239.55636786,15
113,38.79989460630091,55.184517441383875,4531.776503633241,55157.518699140135,85753.19617478631,157323.17277443627,539044.3806788202,822018.5357701766,990588.3191859393,9711519.300727446,14374178.083537607,11002098.731535997,15
114,35.2433477949811,49.90643242343781,4217.842255973681,50920.221777535626,79165.24450152736,145529.0544085859,511767.36975417275,780544.6760673309,944648.33675588,9743037.16512051,14422245.17299873,11060146.766579567,15
115,32.167295438046615,45.358728015539626,3939.2463424753946,47008.24248520716,73083.09752951581,134607.78219970828,485762.75779825525,740994.6238180746,900502.5536530777,9772956.832421113,14467881.919924406,11115492.417804744,15
116,29.49490865736946,41.4221853135636,3691.2485285083094,43396.64295625104,67467.98157101093,124496.79897853661,460980.71541581966,703294.0792438949,858111.7778099928,9801353.146719284,14511201.516999792,11168242.174682967,15
