time,regions,sf6
1969,USA,0.5363861625672347
1969,CAN,0.0738013765281001
1969,WEU,0.0
1969,JPK,0.0
1969,ANZ,0.0
1969,EEU,0.0
1969,FSU,0.0
1969,MDE,0.14065617459904375
1969,CAM,0.0
1969,LAM,0.0
1969,SAS,0.09925735439762844
1969,SEA,0.0635945384511826
1969,CHI,0.0
1969,MAF,0.014631102338032425
1969,SSA,0.017601707133298575
1969,SIS,0.0
1970,USA,0.575428258705278
1970,CAN,0.07881908827157011
1970,WEU,0.0
1970,JPK,0.0
1970,ANZ,0.00026738336174163664
1970,EEU,0.0
1970,FSU,0.0
1970,MDE,0.14923786798807134
1970,CAM,0.0
1970,LAM,0.0
1970,SAS,0.10484771777210194
1970,SEA,0.06766509538452696
1970,CHI,0.0
1970,MAF,0.015695500938663065
1970,SSA,0.019191268625713218
1970,SIS,0.0
1971,USA,0.6147844078046744
1971,CAN,0.08391431365899626
1971,WEU,0.0
1971,JPK,0.0
1971,ANZ,0.0008444951523998184
1971,EEU,0.0
1971,FSU,0.0
1971,MDE,0.15806133088250707
1971,CAM,0.0
1971,LAM,0.0
1971,SAS,0.11047570980281472
1971,SEA,0.0718425510210606
1971,CHI,0.0
1971,MAF,0.016808054689258688
1971,SSA,0.02090496325817941
1971,SIS,0.0
1972,USA,0.6554603689232867
1972,CAN,0.08917100090246181
1972,WEU,0.0
1972,JPK,0.0
1972,ANZ,0.0014879929274590074
1972,EEU,0.0
1972,FSU,0.0
1972,MDE,0.16709269288331927
1972,CAM,0.0005613430768153821
1972,LAM,0.0
1972,SAS,0.1161528225321971
1972,SEA,0.07615295866068733
1972,CHI,0.0
1972,MAF,0.01797314125987311
1972,SSA,0.02271861609388529
1972,SIS,0.0
1973,USA,0.6975078147468403
1973,CAN,0.09459847271599638
1973,WEU,0.0
1973,JPK,0.0
1973,ANZ,0.0021998933086284328
1973,EEU,0.0
1973,FSU,0.0
1973,MDE,0.17634710607948742
1973,CAM,0.0020380958672182653
1973,LAM,0.0018406134991503739
1973,SAS,0.12188114405233531
1973,SEA,0.08060826134275659
1973,CHI,0.0
1973,MAF,0.019195050655393536
1973,SSA,0.02463711145520961
1973,SIS,0.0
1974,USA,0.7409802802100299
1974,CAN,0.10020655314780176
1974,WEU,0.0
1974,JPK,0.006489222811357723
1974,ANZ,0.002982268938083111
1974,EEU,0.0
1974,FSU,0.0
1974,MDE,0.18584075919557252
1974,CAM,0.003740843910810335
1974,LAM,0.007633642527819295
1974,SAS,0.1276628443523748
1974,SEA,0.08522141662102248
1974,CHI,0.0
1974,MAF,0.02047840305557713
1974,SSA,0.02666555478010644
1974,SIS,0.0
1975,USA,0.7859332263642992
1975,CAN,0.10600559337752795
1975,WEU,0.0
1975,JPK,0.018546563568223044
1975,ANZ,0.003837249954990062
1975,EEU,0.0
1975,FSU,0.0
1975,MDE,0.19559094572090213
1975,CAM,0.005688913495458591
1975,LAM,0.01424098039353094
1975,SAS,0.13350017837850278
1975,SEA,0.09000647966169963
1975,CHI,0.0
1975,MAF,0.02182817327526251
1975,SSA,0.02880928217658923
1975,SIS,0.0
1976,USA,0.8324241063648359
1976,CAN,0.11200649880176196
1976,WEU,0.0
1976,JPK,0.032106934649392
1976,ANZ,0.004767025509625977
1976,EEU,0.0
1976,FSU,0.0
1976,MDE,0.2056161363935513
1976,CAM,0.007903196670284784
1976,LAM,0.021723205850776438
1976,SAS,0.1393954892046119
1976,SEA,0.09497869297591016
1976,CHI,0.0
1976,MAF,0.023249716989032863
1976,SSA,0.031073870377305836
1976,SIS,0.0
1977,USA,0.880512433645465
1977,CAN,0.11822075747067244
1977,WEU,0.0
1977,JPK,0.047261533163777424
1977,ANZ,0.005773845316020252
1977,EEU,0.0
1977,FSU,0.00172701161331236
1977,MDE,0.21593605631185772
1977,CAM,0.010406273683206811
1977,LAM,0.030145153215648472
1977,SAS,0.1453512113175557
1977,SEA,0.10015458330622838
1977,CHI,0.0
1977,MAF,0.024748798845133434
1977,SSA,0.03346514711058343
1977,SIS,0.0
1978,USA,0.9302598523522988
1978,CAN,0.12466046994177854
1978,WEU,0.02253858754148163
1978,JPK,0.06410675204831984
1978,ANZ,0.006860021244079873
1978,EEU,0.0
1978,FSU,0.004752455486560644
1978,MDE,0.2265717669630297
1978,CAM,0.013222544755985496
1978,LAM,0.03957620041109698
1978,SAS,0.1513698740210436
1978,SEA,0.10555206622714927
1978,CHI,0.0
1978,MAF,0.02633162260214153
1978,SSA,0.0359892019049817
1978,SIS,0.0
1979,USA,0.9817302101092695
1979,CAN,0.13133838061998085
1979,WEU,0.048564794937947776
1979,JPK,0.08274446447821217
1979,ANZ,0.008027928952176225
1979,EEU,0.0
1979,FSU,0.008103135692012903
1979,MDE,0.23754575347624565
1979,CAM,0.016378371895739898
1979,LAM,0.050090576007791966
1979,SAS,0.15745410496236226
1979,SEA,0.11119055906248675
1979,CHI,0.0
1979,MAF,0.028004863431180863
1979,SSA,0.03865239734507793
1979,SIS,0.0
1980,USA,1.0349896331909845
1980,CAN,0.13826791065630978
1980,WEU,0.07715686119381628
1980,JPK,0.1032823234196716
1980,ANZ,0.009280009561197516
1980,EEU,0.0
1980,FSU,0.011795174741740952
1980,MDE,0.24888201742657157
1980,CAM,0.019902231493466878
1980,LAM,0.061767686489368964
1980,SAS,0.16360663378625748
1980,SEA,0.11709110276917913
1980,CHI,0.0
1980,MAF,0.02977570253640542
1980,SSA,0.04146138079692017
1980,SIS,0.0
1981,USA,1.1006861514341622
1981,CAN,0.14554729479369927
1981,WEU,0.12355583037632759
1981,JPK,0.13975952818079296
1981,ANZ,0.010922521043760042
1981,EEU,0.0
1981,FSU,0.01710699915103961
1981,MDE,0.25861335696385496
1981,CAM,0.020805228733906916
1981,LAM,0.06361146610067632
1981,SAS,0.17141991504853143
1981,SEA,0.12404759367031412
1981,CHI,0.0
1981,MAF,0.03153633796051205
1981,SSA,0.04321776065626441
1981,SIS,0.0
1982,USA,1.1697647681170278
1982,CAN,0.15312015888833969
1982,WEU,0.17497055021237373
1982,JPK,0.18106011609429218
1982,ANZ,0.01268907382580059
1982,EEU,0.0
1982,FSU,0.02298924219587894
1982,MDE,0.26847148444351926
1982,CAM,0.02172521985862123
1982,LAM,0.06544206944515721
1982,SAS,0.17961445315674485
1982,SEA,0.13149153199133085
1982,CHI,0.0
1982,MAF,0.03338932824946537
1982,SSA,0.045001588697449
1982,SIS,0.0
1983,USA,1.2424144390641605
1983,CAN,0.16100346149330075
1983,WEU,0.23171584205023302
1983,JPK,0.22765693800283943
1983,ANZ,0.01458461296361137
1983,EEU,0.0
1983,FSU,0.029478697615818217
1983,MDE,0.2784602368996825
1983,CAM,0.022662006168646408
1983,LAM,0.06725908959749842
1983,SAS,0.1882339454535656
1983,SEA,0.13947777754451815
1983,CHI,0.0
1983,MAF,0.035341051721348486
1983,SSA,0.04681316433581502
1983,SIS,0.0
1984,USA,1.3188336000601106
1984,CAN,0.16921499239594365
1984,WEU,0.29412476530107395
1984,JPK,0.28006628120778154
1984,ANZ,0.01661399352618935
1984,EEU,0.0
1984,FSU,0.036614358063352566
1984,MDE,0.2885837261214776
1984,CAM,0.023615706799442606
1984,LAM,0.06906254934172959
1984,SAS,0.19732691579386985
1984,SEA,0.1480671354466418
1984,CHI,0.0
1984,MAF,0.037398321151674276
1984,SSA,0.04865282533744719
1984,SIS,0.0
1985,USA,1.399231107305595
1985,CAN,0.177773505844608
1985,WEU,0.3625501291279841
