time,regions,emission
1961,CAM,20.698792842095354
1961,LAM,63.60175267523806
1961,SAS,24.859288206226655
1961,SEA,10.164751534261924
1961,CHI,60.871578336210206
1961,MAF,7.943796016404978
1961,SSA,37.62956294324134
1961,SIS,8.37349141323435
1962,USA,752.3093838219022
1962,CAN,52.26154637385021
1962,WEU,513.2820814505517
1962,JPK,62.63060571019282
1962,ANZ,27.098740095592948
1962,EEU,137.02395953651035
1962,FSU,347.12468859839214
1962,MDE,32.30298374917321
1962,CAM,21.832798091063488
1962,LAM,66.92949160527769
1962,SAS,26.083527244180846
1962,SEA,11.43752012789419
1962,CHI,61.251338866226
1962,MAF,8.805901258387468
1962,SSA,40.09292816455922
1962,SIS,9.078353820946665
1963,USA,780.5914054523308
1963,CAN,55.10006822566595
1963,WEU,531.4397708338247
