type,quantile,value,target,forecast_date,target_end_date,location
quantile,0.3,1357.72958984375,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.35,1379.3284667968749,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.4,1399.5490234375,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.45,1419.3603515625,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.5,1439.42724609375,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.55,1457.012744140625,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.6,1481.918359375,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.65,1509.411865234375,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.7,1531.26044921875,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.75,1559.92724609375,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.8,1599.0123046875,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.85,1639.380126953125,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.9,1675.9718750000002,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.95,1761.3451171874997,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.975,1838.47431640625,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
quantile,0.99,1868.22892578125,4.0 week(s) ahead  inc hosp,2023-12-09,2024-01-06,Florida
