date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-03-24,US,2200451,96235611,831553,46365515,3548210,150194511,,,477953,22992214,1316212,65995871,,,221093,20738397,805968,61719260,,,131980,2604795,133029,2622182,,,,,,
2021-03-25,US,2252957,98488568,1054317,47419832,3819046,154013557,,,576166,23568380,1559205,67555076,,,366245,21104642,1158495,62877755,,,111367,2716162,112185,2734367,,,,,,
2021-03-26,US,2084667,100573235,1275340,48695172,3806254,157819811,,,679341,24247721,1813156,69368232,,,467851,21572493,1435966,64313721,,,127701,2843863,128879,2863246,,,,,,
2021-03-27,US,1370211,101943446,1446597,50141769,2473915,160293726,,,758431,25006152,1877987,71246219,,,569240,22141733,1497619,65811340,,,118536,2962399,119207,2982453,,,,,,
2021-03-28,US,669920,102613366,1451795,51593564,1210293,161504019,,,730979,25737131,1734892,72981111,,,613080,22754813,1438107,67249447,,,107471,3069870,108259,3090712,,,,,,
2021-03-29,US,1602734,104216100,1020667,52614231,2831884,164335903,,,561888,26299019,1356914,74338025,,,394295,23149108,928403,68177850,,,64434,3134304,64706,3155418,,,,,,
2021-03-30,US,2006175,106222275,809255,53423486,3584052,167919955,,,457170,26756189,1048865,75386890,,,292263,23441371,680163,68858013,,,59737,3194041,60239,3215657,,,,,,
2021-03-31,US,2403494,108625769,1183555,54607041,4165733,172085688,,,617400,27373589,1505022,76891912,,,474856,23916227,1072943,69930956,,,90767,3284808,91456,3307113,,,,,,
2021-04-01,US,2519973,111145742,1482573,56089614,4559002,176644690,,,737213,28110802,1826005,78717917,,,623134,24539361,1407909,71338865,,,121725,3406533,122767,3429880,,,,,,
2021-04-02,US,2039265,113185007,1895171,57984785,3635845,180280535,,,894569,29005371,2127319,80845236,,,813826,25353187,1658706,72997571,,,186300,3592833,187497,3617377,,,,,,
2021-04-03,US,1323984,114508991,1873361,59858146,2303002,182583537,,,850292,29855663,2141314,82986550,,,800420,26153607,1715816,74713387,,,222182,3815015,223270,3840647,,,,,,
2021-04-04,US,437428,114946419,1558390,61416536,764455,183347992,,,716896,30572559,1823856,84810406,,,627915,26781522,1325546,76038933,,,212560,4027575,213442,4054089,,,,,,
2021-04-05,US,1730288,116676707,975529,62392065,3096295,186444287,,,481032,31053591,1231557,86041963,,,345096,27126618,752279,76791212,,,149318,4176893,149926,4204015,,,,,,
2021-04-06,US,2280821,118957528,624911,63016976,3966893,190411180,,,308096,31361687,814030,86855993,,,223951,27350569,494138,77285350,,,92795,4269688,95886,4299901,,,,,,
2021-04-07,US,2556390,121513918,1405642,64422618,4351871,194763051,,,664234,32025921,1607881,88463874,,,497843,27848412,1030426,78315776,,,243052,4512740,244651,4544552,,,,,,
2021-04-08,US,2554088,124068006,1780505,66203123,4488259,199251310,,,782727,32808648,1792712,90256586,,,623647,28472059,1236044,79551820,,,373596,4886336,372673,4917225,,,,,,
2021-04-09,US,2427348,126495354,1999335,68202458,4303726,203555036,,,875785,33684433,2099147,92355733,,,660451,29132510,1392284,80944104,,,462630,5348966,465140,5382365,,,,,,
2021-04-10,US,1723520,128218874,0,68202458,2887638,206442674,,,0,33684433,0,92355733,,,0,29132510,0,80944104,,,0,5348966,0,5382365,,,,,,
2021-04-11,US,833165,129052039,2490187,70692645,1400217,207842891,,,1062459,34746892,2359410,94715143,,,840257,29972767,1678074,82622178,,,586664,5935630,589736,5972101,,,,,,
2021-04-12,US,1641822,130693861,3373440,74066085,3019608,210862499,,,1447130,36194022,3262982,97978125,,,1041315,31014082,2072210,84694388,,,884558,6820188,887776,6859877,,,,,,
2021-04-13,US,1747700,132441561,1256198,75322283,3480621,214343120,,,570218,36764240,1475170,99453295,,,341897,31355979,741299,85435687,,,343964,7164152,373849,7233726,,,,,,
2021-04-14,US,1738997,134180558,1358969,76681252,3702805,218045925,,,632853,37397093,1438322,100891617,,,418873,31774852,785389,86221076,,,306844,7470996,283945,7517671,,,,,,
2021-04-15,US,1765363,135945921,1817038,78498290,3755916,221801841,,,921999,38319092,1985874,102877491,,,677002,32451854,1318576,87539652,,,217503,7688499,219110,7736781,,,,,,
2021-04-16,US,1653010,137598931,2111528,80609818,3609927,225411768,,,1120734,39439826,2192926,105070417,,,880987,33332841,1659997,89199649,,,109234,7797733,111246,7848027,,,,,,
2021-04-17,US,1163314,138762245,1861333,82471151,2366823,227778591,,,968673,40408499,2013467,107083884,,,839030,34171871,1519337,90718986,,,53139,7850872,54719,7902746,,,,,,
2021-04-18,US,539950,139302195,1792257,84263408,1134957,228913548,,,939398,41347897,2038208,109122092,,,820297,34992168,1462469,92181455,,,32056,7882928,32803,7935549,,,,,,
2021-04-19,US,1092072,140394267,1101772,85365180,2586216,231499764,,,641507,41989404,1339813,110461905,,,446993,35439161,820978,93002433,,,13216,7896144,13472,7949021,,,,,,
2021-04-20,US,1367331,141761598,0,85365180,3235461,234735225,,,0,41989404,0,110461905,,,0,35439161,0,93002433,,,0,7896144,0,7949021,,,,,,
2021-04-21,US,1392340,143153938,2227466,87592646,3482707,238217932,,,1287588,43276992,2642866,113104771,,,904220,36343381,1681614,94684047,,,35063,7931207,44234,7993255,,,,,,
2021-04-22,US,1415620,144569558,1653130,89245776,3504009,241721941,,,920707,44197699,1739257,114844028,,,707517,37050898,1229654,95913701,,,24329,7955536,25110,8018365,,,,,,
2021-04-23,US,1370587,145940145,1930219,91175995,3307412,245029353,,,1070616,45268315,1910603,116754631,,,837731,37888629,1440033,97353734,,,21330,7976866,22362,8040727,,,,,,
2021-04-24,US,1002668,146942813,1902045,93078040,2211642,247240995,,,1060922,46329237,1873865,118628496,,,824068,38712697,1425239,98778973,,,16523,7993389,17512,8058239,,,,,,
2021-04-25,US,490728,147433541,1694289,94772329,994272,248235267,,,961380,47290617,1745221,120373717,,,711409,39424106,1252953,100031926,,,21109,8014498,21624,8079863,,,,,,
