date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2021-10-31,US,99691,221852884,208573,192453500,438860,431546039,,,121336,106575607,653178,247226364,,,66010,70438744,719140,158772903,,,20928,15320582,38585,15632926,,,,,,
2021-11-01,US,283176,222136060,133427,192586927,1486426,433032465,,,79637,106655244,418394,247644758,,,40398,70479142,491536,159264439,,,13344,15333926,24876,15657802,,,,,,
2021-11-02,US,281133,222417193,139479,192726406,1508247,434540712,,,83439,106738683,427203,248071961,,,41342,70520484,482811,159747250,,,14519,15348445,26674,15684476,,,,,,
2021-11-03,US,309443,222726636,205080,192931486,1572412,436113124,,,108800,106847483,583716,248655677,,,73065,70593549,702842,160450092,,,22638,15371083,41397,15725873,,,,,,
2021-11-04,US,348441,223075077,296327,193227813,1648980,437762104,,,155410,107002893,646845,249302522,,,111618,70705167,756789,161206881,,,28873,15399956,48973,15774846,,,,,,
2021-11-05,US,451857,223526934,198049,193425862,1925252,439687356,,,91150,107094043,537139,249839661,,,74469,70779636,678256,161885137,,,31912,15431868,53012,15827858,,,,,,
2021-11-06,US,391359,223918293,202067,193627929,1043691,440731047,,,106363,107200406,596176,250435837,,,68722,70848358,763073,162648210,,,26318,15458186,48161,15876019,,,,,,
2021-11-07,US,228105,224146398,204655,193832584,559727,441290774,,,118136,107318542,654697,251090534,,,63160,70911518,742403,163390613,,,22862,15481048,41674,15917693,,,,,,
2021-11-08,US,470664,224617062,168524,194001108,1473930,442764704,,,104247,107422789,554917,251645451,,,49197,70960715,539987,163930600,,,14933,15495981,27146,15944839,,,,,,
2021-11-09,US,521849,225138911,167503,194168611,1650012,444414716,,,103111,107525900,693057,252338508,,,48597,71009312,465058,164395658,,,16559,15512540,28779,15973618,,,,,,
2021-11-10,US,574700,225713611,214310,194382921,1785386,446200102,,,127975,107653875,697082,253035590,,,62327,71071639,589649,164985307,,,23446,15535986,41580,16015198,,,,,,
2021-11-11,US,548209,226261820,0,194382921,1608591,447808693,,,0,107653875,0,253035590,,,0,71071639,0,164985307,,,0,15535986,0,16015198,,,,,,
2021-11-12,US,638530,226900350,364918,194747839,2001590,449810283,,,204523,107858398,1496901,254532491,,,115304,71186943,1285754,166271061,,,44420,15580406,79034,16094232,,,,,,
2021-11-13,US,536670,227437020,203267,194951106,1181332,450991615,,,118446,107976844,900255,255432746,,,62875,71249818,739688,167010749,,,21601,15602007,41036,16135268,,,,,,
2021-11-14,US,240742,227677762,169364,195120470,582055,451573670,,,98510,108075354,820838,256253584,,,51998,71301816,668694,167679443,,,18506,15620513,34281,16169549,,,,,,
2021-11-15,US,458942,228136704,155434,195275904,1562759,453136429,,,93339,108168693,851874,257105458,,,46327,71348143,562948,168242391,,,15703,15636216,30609,16200158,,,,,,
2021-11-16,US,487133,228623837,159784,195435688,1694172,454830601,,,89892,108258585,764462,257869920,,,49692,71397835,569650,168812041,,,19940,15656156,33827,16233985,,,,,,
2021-11-17,US,505927,229129764,176677,195612365,1772474,456603075,,,100192,108358777,772534,258642454,,,53342,71451177,600197,169412238,,,22755,15678911,40675,16274660,,,,,,
2021-11-18,US,505558,229635322,0,195612365,1800135,458403210,,,0,108358777,0,258642454,,,0,71451177,0,169412238,,,0,15678911,0,16274660,,,,,,
2021-11-19,US,581511,230216833,100742,195713107,2088886,460492096,,,54840,108413617,730858,259373312,,,28042,71479219,690748,170102986,,,17617,15696528,38166,16312826,,,,,,
2021-11-20,US,459453,230676286,207459,195920566,1239956,461732052,,,119681,108533298,1103401,260476713,,,63931,71543150,755501,170858487,,,23399,15719927,44744,16357570,,,,,,
2021-11-21,US,206744,230883030,207930,196128496,649567,462381619,,,113430,108646728,944903,261421616,,,69160,71612310,804767,171663254,,,24714,15744641,47716,16405286,,,,,,
2021-11-22,US,487879,231370909,270452,196398948,1828749,464210368,,,154520,108801248,1492772,262914388,,,84447,71696757,1146937,172810191,,,31171,15775812,61521,16466807,,,,,,
2021-11-23,US,488630,231859539,0,196398948,1801473,466011841,,,0,108801248,0,262914388,,,0,71696757,0,172810191,,,0,15775812,0,16466807,,,,,,
2021-11-24,US,400849,232260388,-230192,196168756,1395003,467406844,,,-118015,108683233,1111555,264025943,,,-108595,71588162,650930,173461121,,,-5472,15770340,21413,16488220,,,,,,
2021-11-25,US,8586,232268974,0,196168756,28452,467435296,,,0,108683233,0,264025943,,,0,71588162,0,173461121,,,0,15770340,0,16488220,,,,,,
2021-11-26,US,311814,232580788,0,196168756,1212742,468648038,,,0,108683233,0,264025943,,,0,71588162,0,173461121,,,0,15770340,0,16488220,,,,,,
2021-11-27,US,219310,232800098,0,196168756,897291,469545329,,,0,108683233,0,264025943,,,0,71588162,0,173461121,,,0,15770340,0,16488220,,,,,,
2021-11-28,US,142102,232942200,0,196168756,594228,470139557,,,0,108683233,0,264025943,,,0,71588162,0,173461121,,,0,15770340,0,16488220,,,,,,
2021-11-29,US,353043,233295243,0,196168756,1676124,471815681,,,0,108683233,0,264025943,,,0,71588162,0,173461121,,,0,15770340,0,16488220,,,,,,
2021-11-30,US,404286,233699529,890232,197058988,1941115,473756796,,,582152,109265385,3613772,267639715,,,230541,71818703,2565218,176026339,,,76605,15846945,143031,16631251,,,,,,
2021-12-01,US,460239,234159768,304128,197363116,2190679,475947475,,,231632,109497017,880692,268520407,,,51652,71870355,567836,176594175,,,20432,15867377,40230,16671481,,,,,,
2021-12-02,US,446937,234606705,475612,197838728,2183540,478131015,,,368575,109865592,1335914,269856321,,,80302,71950657,794751,177388926,,,26275,15893652,49209,16720690,,,,,,
2021-12-03,US,485961,235092666,372913,198211641,2464040,480595055,,,285411,110151003,1090040,270946361,,,62122,72012779,760960,178149886,,,24881,15918533,49707,16770397,,,,,,
2021-12-04,US,299836,235392502,380526,198592167,1492161,482087216,,,318703,110469706,1286016,272232377,,,35466,72048245,829094,178978980,,,25937,15944470,51807,16822204,,,,,,
2021-12-05,US,165333,235557835,370353,198962520,734751,482821967,,,300132,110769838,1038420,273270797,,,51041,72099286,700263,179679243,,,18825,15963295,41145,16863349,,,,,,
2021-12-06,US,388202,235946037,350502,199313022,1843044,484665011,,,302851,111072689,885479,274156276,,,35081,72134367,492176,180171419,,,12472,15975767,24657,16888006,,,,,,
2021-12-07,US,401335,236347372,374417,199687439,1922870,486587881,,,313040,111385729,965629,275121905,,,45618,72179985,545615,180717034,,,15540,15991307,30756,16918762,,,,,,
2021-12-08,US,405506,236752878,713094,200400533,1938795,488526676,,,440240,111825969,1363743,276485648,,,233951,72413936,1057932,181774966,,,38391,16029698,61217,16979979,,,,,,
2021-12-09,US,402267,237155145,316854,200717387,1937813,490464489,,,247081,112073050,986518,277472166,,,50960,72464896,676709,182451675,,,18512,16048210,40956,17020935,,,,,,
2021-12-10,US,422912,237578057,562195,201279582,2125624,492590113,,,422456,112495506,1872665,279344831,,,108778,72573674,1176973,183628648,,,29883,16078093,80050,17100985,,,,,,
2021-12-11,US,266230,237844287,408968,201688550,1263002,493853115,,,320072,112815578,1281062,280625893,,,63081,72636755,793985,184422633,,,25300,16103393,51286,17152271,,,,,,
2021-12-12,US,151061,237995348,286685,201975235,634376,494487491,,,231408,113046986,893441,281519334,,,40378,72677133,567170,184989803,,,14580,16117973,33291,17185562,,,,,,
2021-12-13,US,345357,238340705,271463,202246698,1625840,496113331,,,231347,113278333,748057,282267391,,,29957,72707090,399108,185388911,,,10038,16128011,21380,17206942,,,,,,
2021-12-14,US,364988,238705693,257339,202504037,1726289,497839620,,,206244,113484577,744957,283012348,,,37736,72744826,442312,185831223,,,13085,16141096,26533,17233475,,,,,,
2021-12-15,US,376827,239082520,0,202504037,1730285,499569905,,,0,113484577,0,283012348,,,0,72744826,0,185831223,,,0,16141096,0,17233475,,,,,,
2021-12-16,US,388446,239470966,341849,202845886,1700088,501269993,,,268776,113753353,1057586,284069934,,,53717,72798543,623562,186454785,,,18902,16159998,38772,17272247,,,,,,
2021-12-17,US,431236,239902202,633320,203479206,1949833,503219826,,,484428,114237781,2140749,286210683,,,108630,72907173,1369101,187823886,,,39171,16199169,82964,17355211,,,,,,
2021-12-18,US,286787,240188989,0,203479206,1125186,504345012,,,0,114237781,0,286210683,,,0,72907173,0,187823886,,,0,16199169,0,17355211,,,,,,
2021-12-19,US,168686,240357675,447273,203926479,642893,504987905,,,313921,114551702,1910857,288121540,,,99625,73006798,1228562,189052448,,,32876,16232045,67147,17422358,,,,,,
2021-12-20,US,439747,240797422,172503,204098982,1849233,506837138,,,129970,114681672,704017,288825557,,,33131,73039929,416595,189469043,,,9135,16241180,16342,17438700,,,,,,
2021-12-21,US,464146,241261568,479743,204578725,1980468,508817606,,,305705,114987377,712524,289538081,,,166941,73206870,405718,189874761,,,6803,16247983,16267,17454967,,,,,,
2021-12-22,US,445736,241707304,239992,204818717,1873480,510691086,,,172611,115159988,977960,290516041,,,49901,73256771,629159,190503920,,,16965,16264948,29641,17484608,,,,,,
2021-12-23,US,367496,242074800,-78396,204740321,1467818,512158904,,,29857,115189845,802904,291318945,,,-109034,73147737,387778,190891698,,,285,16265233,16418,17501026,,,,,,
2021-12-24,US,103028,242177828,0,204740321,381626,512540530,,,0,115189845,0,291318945,,,0,73147737,0,190891698,,,0,16265233,0,17501026,,,,,,
2021-12-25,US,2103,242179931,0,204740321,6766,512547296,,,0,115189845,0,291318945,,,0,73147737,0,190891698,,,0,16265233,0,17501026,,,,,,
2021-12-26,US,132070,242312001,0,204740321,481283,513028579,,,0,115189845,0,291318945,,,0,73147737,0,190891698,,,0,16265233,0,17501026,,,,,,
2021-12-27,US,394356,242706357,456652,205196973,1531616,514560195,,,331426,115521271,1963269,293282214,,,93988,73241725,1239189,192130887,,,30570,16295803,53791,17554817,,,,,,
2021-12-28,US,434436,243140793,223772,205420745,1699037,516259232,,,169885,115691156,953714,294235928,,,42203,73283928,556403,192687290,,,11376,16307179,22094,17576911,,,,,,
2021-12-29,US,435426,243576219,217562,205638307,1683927,517943159,,,160404,115851560,784803,295020731,,,40071,73323999,475355,193162645,,,11229,16318408,19683,17596594,,,,,,
2021-12-30,US,403491,243979710,173087,205811394,1541169,519484328,,,143935,115995495,837503,295858234,,,20706,73344705,488348,193650993,,,8255,16326663,17252,17613846,,,,,,
2021-12-31,US,162707,244142417,0,205811394,615671,520099999,,,0,115995495,0,295858234,,,0,73344705,0,193650993,,,0,16326663,0,17613846,,,,,,
2022-01-01,US,34098,244176515,0,205811394,112134,520212133,,,0,115995495,0,295858234,,,0,73344705,0,193650993,,,0,16326663,0,17613846,,,,,,
2022-01-02,US,136890,244313405,0,205811394,498708,520710841,,,0,115995495,0,295858234,,,0,73344705,0,193650993,,,0,16326663,0,17613846,,,,,,
2022-01-03,US,340432,244653837,0,205811394,1244795,521955636,,,0,115995495,0,295858234,,,0,73344705,0,193650993,,,0,16326663,0,17613846,,,,,,
2022-01-04,US,371830,245025667,770265,206581659,1418973,523374609,,,565599,116561094,3081168,298939402,,,159194,73503899,1840915,195491908,,,44655,16371318,81949,17695795,,,,,,
2022-01-05,US,379028,245404695,216140,206797799,1456285,524830894,,,156085,116717179,730566,299669968,,,47800,73551699,421840,195913748,,,11876,16383194,21130,17716925,,,,,,
2022-01-06,US,370224,245774919,0,206797799,1465832,526296726,,,0,116717179,0,299669968,,,0,73551699,0,195913748,,,0,16383194,0,17716925,,,,,,
2022-01-07,US,399436,246174355,218715,207016514,1652038,527948764,,,158391,116875570,816124,300486092,,,47181,73598880,482355,196396103,,,12774,16395968,23007,17739932,,,,,,
2022-01-08,US,274238,246448593,435934,207452448,1050342,528999106,,,323479,117199049,1778540,302264632,,,84560,73683440,1025210,197421313,,,26989,16422957,51540,17791472,,,,,,
2022-01-09,US,141795,246590388,209623,207662071,498860,529497966,,,158736,117357785,831849,303096481,,,38916,73722356,459173,197880486,,,11666,16434623,22007,17813479,,,,,,
2022-01-10,US,330504,246920892,134264,207796335,1262335,530760301,,,106035,117463820,551782,303648263,,,21832,73744188,266843,198147329,,,6294,16440917,11745,17825224,,,,,,
2022-01-11,US,338659,247259551,158270,207954605,1312078,532072379,,,121363,117585183,648520,304296783,,,28492,73772680,326824,198474153,,,8265,16449182,14834,17840058,,,,,,
2022-01-12,US,340287,247599838,228052,208182657,1317790,533390169,,,167616,117752799,848780,305145563,,,46251,73818931,449826,198923979,,,13383,16462565,23608,17863666,,,,,,
2022-01-13,US,336722,247936560,382237,208564894,1296974,534687143,,,265064,118017863,1096090,306241653,,,114425,73933356,678410,199602389,,,20309,16482874,34605,17898271,,,,,,
2022-01-14,US,378474,248315034,226968,208791862,1473617,536160760,,,175413,118193276,911298,307152951,,,38882,73972238,466898,200069287,,,12293,16495167,24818,17923089,,,,,,
2022-01-15,US,226595,248541629,0,208791862,791699,536952459,,,0,118193276,0,307152951,,,0,73972238,0,200069287,,,0,16495167,0,17923089,,,,,,
2022-01-16,US,106501,248648130,203576,208995438,391776,537344235,,,148037,118341313,832403,307985354,,,41816,74014054,436458,200505745,,,13259,16508426,23891,17946980,,,,,,
2022-01-17,US,216223,248864353,0,208995438,827965,538172200,,,0,118341313,0,307985354,,,0,74014054,0,200505745,,,0,16508426,0,17946980,,,,,,
2022-01-18,US,252898,249117251,317332,209312770,1002257,539174457,,,227471,118568784,1564826,309550180,,,69858,74083912,764952,201270697,,,19528,16527954,36403,17983383,,,,,,
2022-01-19,US,249024,249366275,196527,209509297,983263,540157720,,,145235,118714019,782622,310332802,,,39836,74123748,361536,201632233,,,11169,16539123,19118,18002501,,,,,,
2022-01-20,US,239046,249605321,333313,209842610,940876,541098596,,,225653,118939672,874440,311207242,,,95906,74219654,495498,202127731,,,11501,16550624,63028,18065529,,,,,,
2022-01-21,US,275380,249880701,179156,210021766,1086739,542185335,,,139042,119078714,646179,311853421,,,31138,74250792,319323,202447054,,,8427,16559051,17827,18083356,,,,,,
2022-01-22,US,171814,250052515,207820,210229586,622551,542807886,,,156618,119235332,704708,312558129,,,39993,74290785,339539,202786593,,,10851,16569902,19278,18102634,,,,,,
2022-01-23,US,91189,250143704,128422,210358008,332421,543140307,,,94269,119329601,442834,313000963,,,26916,74317701,237885,203024478,,,7020,16576922,12152,18114786,,,,,,
2022-01-24,US,203177,250346881,101955,210459963,799723,543940030,,,78697,119408298,476776,313477739,,,17715,74335416,211074,203235552,,,5458,16582380,10378,18125164,,,,,,
2022-01-25,US,203132,250550013,222508,210682471,806548,544746578,,,187135,119595433,758281,314236020,,,28013,74363429,268415,203503967,,,7094,16589474,13010,18138174,,,,,,
2022-01-26,US,200082,250750095,167741,210850212,795546,545542124,,,125056,119720489,547767,314783787,,,33499,74396928,259513,203763480,,,8832,16598306,15104,18153278,,,,,,
2022-01-27,US,197491,250947586,311871,211162083,793176,546335300,,,262697,119983186,-422241,314361546,,,82614,74479542,-353844,203409636,,,-33539,16564767,-24540,18128738,,,,,,
2022-01-28,US,229143,251176729,181735,211343818,959244,547294544,,,143886,120127072,589918,314951464,,,29723,74509265,262009,203671645,,,7760,16572527,14450,18143188,,,,,,
2022-01-29,US,120685,251297414,189411,211533229,471831,547766375,,,147683,120274755,578749,315530213,,,32934,74542199,252120,203923765,,,8410,16580937,15176,18158364,,,,,,
2022-01-30,US,72293,251369707,161902,211695131,265724,548032099,,,128778,120403533,511143,316041356,,,26265,74568464,219647,204143412,,,6619,16587556,12027,18170391,,,,,,
2022-01-31,US,159775,251529482,0,211695131,633474,548665573,,,0,120403533,0,316041356,,,0,74568464,0,204143412,,,0,16587556,0,18170391,,,,,,
2022-02-01,US,149310,251678792,259424,211954555,617567,549283140,,,205306,120608839,764490,316805846,,,45392,74613856,310720,204454132,,,8464,16596020,15049,18185440,,,,,,
2022-02-02,US,145040,251823832,176129,212130684,575490,549858630,,,135490,120744329,486593,317292439,,,32764,74646620,208037,204662169,,,7484,16603504,12960,18198400,,,,,,
2022-02-03,US,129772,251953604,0,212130684,523528,550382158,,,0,120744329,0,317292439,,,0,74646620,0,204662169,,,0,16603504,0,18198400,,,,,,
2022-02-04,US,153557,252107161,350781,212481465,660018,551042176,,,279996,121024325,961248,318253687,,,54380,74701000,379843,205042012,,,15667,16619171,25894,18224294,,,,,,
2022-02-05,US,109513,252216674,176217,212657682,440946,551483122,,,133571,121157896,454901,318708588,,,34790,74735790,207203,205249215,,,7520,16626691,12246,18236540,,,,,,
2022-02-06,US,59533,252276207,148839,212806521,214904,551698026,,,115174,121273070,373892,319082480,,,27295,74763085,160236,205409451,,,6159,16632850,9862,18246402,,,,,,
2022-02-07,US,129192,252405399,113757,212920278,486541,552184567,,,90102,121363172,289884,319372364,,,20552,74783637,104139,205513590,,,3018,16635868,5177,18251579,,,,,,
2022-02-08,US,126908,252532307,140839,213061117,504735,552689302,,,109864,121473036,368813,319741177,,,26329,74809966,143218,205656808,,,4481,16640349,7217,18258796,,,,,,
2022-02-09,US,130970,252663277,185023,213246140,514499,553203801,,,133417,121606453,429737,320170914,,,42292,74852258,189339,205846147,,,9019,16649368,13065,18271861,,,,,,
2022-02-10,US,129022,252792299,184294,213430434,512173,553715974,,,135461,121741914,477364,320648278,,,40853,74893111,213543,206059690,,,7422,16656790,11940,18283801,,,,,,
2022-02-11,US,152484,252944783,132739,213563173,627690,554343664,,,102743,121844657,344947,320993225,,,26279,74919390,151147,206210837,,,3529,16660319,7335,18291136,,,,,,
2022-02-12,US,91080,253035863,171246,213734419,348893,554692557,,,126513,121971170,432371,321425596,,,37231,74956621,197570,206408407,,,7163,16667482,11935,18303071,,,,,,
2022-02-13,US,43144,253079007,135259,213869678,153647,554846204,,,103842,122075012,338425,321764021,,,26491,74983112,137982,206546389,,,4748,16672230,8092,18311163,,,,,,
2022-02-14,US,89401,253168408,93305,213962983,343098,555189302,,,72802,122147814,243550,322007571,,,17547,75000659,87886,206634275,,,2867,16675097,4679,18315842,,,,,,
2022-02-15,US,101498,253269906,141165,214104148,404388,555593690,,,106856,122254670,353574,322361145,,,28813,75029472,139207,206773482,,,5262,16680359,8837,18324679,,,,,,
2022-02-16,US,103008,253372914,0,214104148,415620,556009310,,,0,122254670,0,322361145,,,0,75029472,0,206773482,,,0,16680359,0,18324679,,,,,,
2022-02-17,US,98766,253471680,370573,214474721,408322,556417632,,,262046,122516716,649436,323010581,,,94697,75124169,313057,207086539,,,13160,16693519,20319,18344998,,,,,,
2022-02-18,US,124258,253595938,128135,214602856,528440,556946072,,,94015,122610731,313466,323324047,,,26912,75151081,158948,207245487,,,6859,16700378,11285,18356283,,,,,,
2022-02-19,US,75009,253670947,142217,214745073,283951,557230023,,,103645,122714376,350174,323674221,,,31433,75182514,157221,207402708,,,6737,16707115,11315,18367598,,,,,,
2022-02-20,US,42553,253713500,0,214745073,155027,557385050,,,0,122714376,0,323674221,,,0,75182514,0,207402708,,,0,16707115,0,18367598,,,,,,
2022-02-21,US,80315,253793815,0,214745073,318535,557703585,,,0,122714376,0,323674221,,,0,75182514,0,207402708,,,0,16707115,0,18367598,,,,,,
2022-02-22,US,87471,253881286,261128,215006201,350641,558054226,,,201696,122916072,702700,324376921,,,50110,75232624,266558,207669266,,,8980,16716095,14892,18382490,,,,,,
2022-02-23,US,86843,253968129,123229,215129430,343848,558398074,,,92284,123008356,311575,324688496,,,24129,75256753,124993,207794259,,,6415,16722510,9480,18391970,,,,,,
2022-02-24,US,82526,254050655,123771,215253201,329853,558727927,,,92928,123101284,324242,325012738,,,25168,75281921,149575,207943834,,,5329,16727839,8667,18400637,,,,,,
2022-02-25,US,95549,254146204,64836,215318037,394940,559122867,,,43855,123145139,75017,325087755,,,17329,75299250,86708,208030542,,,3411,16731250,6535,18407172,,,,,,
2022-02-26,US,65479,254211683,138979,215457016,244287,559367154,,,94457,123239596,337384,325425139,,,25598,75324848,140186,208170728,,,18366,16749616,22267,18429439,,,,,,
2022-02-27,US,34114,254245797,0,215457016,123785,559490939,,,0,123239596,0,325425139,,,0,75324848,0,208170728,,,0,16749616,0,18429439,,,,,,
2022-02-28,US,76300,254322097,145712,215602728,316605,559807544,,,112379,123351975,390004,325815143,,,26781,75351629,151893,208322621,,,6316,16755932,9666,18439105,,,,,,
2022-03-01,US,68205,254390302,75049,215677777,278930,560086474,,,59878,123411853,216761,326031904,,,12558,75364187,77254,208399875,,,2450,16758382,4099,18443204,,,,,,
2022-03-02,US,66607,254456909,0,215677777,259797,560346271,,,0,123411853,0,326031904,,,0,75364187,0,208399875,,,0,16758382,0,18443204,,,,,,
2022-03-03,US,65029,254521938,98062,215775839,255868,560602139,,,67008,123478861,262565,326294469,,,21576,75385763,124242,208524117,,,9152,16767534,12416,18455620,,,,,,
2022-03-04,US,78632,254600570,211413,215987252,320553,560922692,,,155122,123633983,509859,326804328,,,46889,75432652,227790,208751907,,,8825,16776359,13929,18469549,,,,,,
2022-03-05,US,49734,254650304,92156,216079408,182970,561105662,,,65771,123699754,222218,327026546,,,20982,75453634,105358,208857265,,,5097,16781456,7288,18476837,,,,,,
2022-03-06,US,26464,254676768,68107,216147515,89567,561195229,,,52297,123752051,170049,327196595,,,12733,75466367,69129,208926394,,,2921,16784377,4363,18481200,,,,,,
2022-03-07,US,56518,254733286,56940,216204455,211795,561407024,,,42727,123794778,143664,327340259,,,12104,75478471,73233,208999627,,,2067,16786444,2891,18484091,,,,,,
2022-03-08,US,55210,254788496,69177,216273632,215979,561623003,,,51578,123846356,185170,327525429,,,14094,75492565,72701,209072328,,,3342,16789786,4717,18488808,,,,,,
2022-03-09,US,56069,254844565,82212,216355844,214676,561837679,,,58337,123904693,208160,327733589,,,18632,75511197,86112,209158440,,,4884,16794670,6992,18495800,,,,,,
2022-03-10,US,54717,254899282,93966,216449810,214585,562052264,,,69445,123974138,247854,327981443,,,18619,75529816,96562,209255002,,,5509,16800179,8911,18504711,,,,,,
2022-03-11,US,64423,254963705,0,216449810,260987,562313251,,,0,123974138,0,327981443,,,0,75529816,0,209255002,,,0,16800179,0,18504711,,,,,,
2022-03-12,US,39383,255003088,47508,216497318,142634,562455885,,,37918,124012056,116090,328097533,,,10158,75539974,27352,209282354,,,-796,16799383,472,18505183,,,,,,
2022-03-13,US,21709,255024797,90666,216587984,74447,562530332,,,66297,124078353,269718,328367251,,,19315,75559289,102220,209384574,,,4643,16804026,6625,18511808,,,,,,
2022-03-14,US,51796,255076593,102820,216690804,196636,562726968,,,76869,124155222,255270,328622521,,,20415,75579704,97251,209481825,,,5333,16809359,7244,18519052,,,,,,
2022-03-15,US,52847,255129440,77151,216767955,205812,562932780,,,57736,124212958,193007,328815528,,,15864,75595568,71165,209552990,,,3371,16812730,4687,18523739,,,,,,
2022-03-16,US,54208,255183648,61874,216829829,208560,563141340,,,44447,124257405,162652,328978180,,,12987,75608555,67620,209620610,,,4201,16816931,-18007520,516219,,,,,,
2022-03-17,US,50356,255234004,67232,216897061,198691,563340031,,,47889,124305294,176391,329154571,,,14913,75623468,74681,209695291,,,4061,16820992,18019142,18535361,,,,,,
2022-03-18,US,63284,255297288,55286,216952347,254711,563594742,,,38184,124343478,143725,329298296,,,12696,75636164,67574,209762865,,,4119,16825111,5804,18541165,,,,,,
2022-03-19,US,39225,255336513,62615,217014962,145540,563740282,,,44672,124388150,165180,329463476,,,13675,75649839,73332,209836197,,,3995,16829106,5777,18546942,,,,,,
2022-03-20,US,22742,255359255,45218,217060180,76010,563816292,,,33506,124421656,123483,329586959,,,9098,75658937,50721,209886918,,,2451,16831557,3644,18550586,,,,,,
2022-03-21,US,52154,255411409,33052,217093232,189855,564006147,,,25209,124446865,95094,329682053,,,6383,75665320,36670,209923588,,,1431,16832988,2068,18552654,,,,,,
2022-03-22,US,48164,255459573,17448,217110680,183408,564189555,,,25212,124472077,37775,329719828,,,2881,75668201,-35200,209888388,,,-10817,16822171,-32543,18520111,,,,,,
2022-03-23,US,52593,255512166,74188,217184868,193731,564383286,,,56642,124528719,187316,329907144,,,13170,75681371,74300,209962688,,,4072,16826243,6013,18526124,,,,,,
2022-03-24,US,53105,255565271,0,217184868,189545,564572831,,,0,124528719,0,329907144,,,0,75681371,0,209962688,,,0,16826243,0,18526124,,,,,,
2022-03-25,US,62610,255627881,131280,217316148,233459,564806290,,,85870,124614589,336349,330243493,,,27969,75709340,158482,210121170,,,16872,16843115,20995,18547119,,,,,,
2022-03-26,US,34178,255662059,65268,217381416,124137,564930427,,,45336,124659925,176814,330420307,,,15398,75724738,84915,210206085,,,4217,16847332,6019,18553138,,,,,,
2022-03-27,US,18138,255680197,43160,217424576,64302,564994729,,,30359,124690284,114452,330534759,,,9048,75733786,48055,210254140,,,3614,16850946,4755,18557893,,,,,,
2022-03-28,US,50469,255730666,23789,217448365,173455,565168184,,,17885,124708169,73221,330607980,,,4545,75738331,27721,210281861,,,1318,16852264,1884,18559777,,,,,,
2022-03-29,US,46704,255777370,50602,217498967,197733,565365917,,,37373,124745542,140693,330748673,,,10274,75748605,59924,210341785,,,2849,16855113,4126,18563903,,,,,,
2022-03-30,US,60744,255838114,57472,217556439,402170,565768087,,,39511,124785053,154354,330903027,,,13160,75761765,75392,210417177,,,4474,16859587,6292,18570195,,,,,,
2022-03-31,US,76137,255914251,82996,217639435,555696,566323783,,,56175,124841228,247587,331150614,,,19186,75780951,144489,210561666,,,7369,16866956,11459,18581654,,,,,,
2022-04-01,US,79736,255993987,63572,217703007,658919,566982702,,,44310,124885538,212803,331363417,,,16897,75797848,132337,210694003,,,2113,16869069,3789,18585443,,,,,,
2022-04-02,US,45854,256039841,71176,217774183,345495,567328197,,,46231,124931769,282093,331645510,,,21363,75819211,197642,210891645,,,3262,16872331,4972,18590415,,,,,,
2022-04-03,US,29009,256068850,60121,217834304,209824,567538021,,,39653,124971422,243804,331889314,,,17980,75837191,177508,211069153,,,2345,16874676,3571,18593986,,,,,,
2022-04-04,US,70448,256139298,48162,217882466,559253,568097274,,,31316,125002738,204762,332094076,,,15338,75852529,143028,211212181,,,1473,16876149,2116,18596102,,,,,,
2022-04-05,US,63929,256203227,73384,217955850,555621,568652895,,,46745,125049483,287842,332381918,,,23631,75876160,207804,211419985,,,2848,16878997,3836,18599938,,,,,,
2022-04-06,US,65616,256268843,87650,218043500,577872,569230767,,,63721,125113204,294532,332676450,,,20866,75897026,157577,211577562,,,2787,16881784,3336,18603274,,,,,,
2022-04-07,US,65208,256334051,92113,218135613,583860,569814627,,,61497,125174701,352286,333028736,,,26654,75923680,248646,211826208,,,3676,16885460,5237,18608511,,,,,,
2022-04-08,US,73428,256407479,100076,218235689,674916,570489543,,,58891,125233592,317538,333346274,,,34563,75958243,246312,212072520,,,6185,16891645,7726,18616237,,,,,,
2022-04-09,US,43939,256451418,83875,218319564,338156,570827699,,,51388,125284980,329796,333676070,,,28471,75986714,253918,212326438,,,3681,16895326,5175,18621412,,,,,,
